room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17823028,1099,111200511,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,136.0,,2017-04-12 12:37:58.588918,49.191815,16.607007,0101000020E61000006D718DCF649B3040EDF0D7648D984840
17822813,1099,111199255,Entire home/apt,,Brno,,Brno,0,0.0,4,1.0,,134.0,,2017-04-12 12:37:58.586560,49.192111,16.608806,0101000020E6100000CC9BC3B5DA9B3040D619DF1797984840
7924334,1099,31846956,Entire home/apt,,Brno,,Brno,22,5.0,10,3.0,,143.0,,2017-04-12 12:37:58.583927,49.198039,16.611364,0101000020E6100000A5F3E159829C3040912A8A5759994840
14080142,1099,32043907,Entire home/apt,,Brno,,Brno,4,5.0,8,2.0,,131.0,,2017-04-12 12:37:58.581672,49.204429,16.610714,0101000020E61000009835B1C0579C30404FADBEBA2A9A4840
12821744,1099,35927934,Entire home/apt,,Brno,,Brno,1,0.0,7,3.0,,142.0,,2017-04-12 12:37:58.578422,49.194852,16.607848,0101000020E610000063F030ED9B9B3040B4C70BE9F0984840
17695250,1099,27769049,Entire home/apt,,Brno,,Brno,0,0.0,8,2.0,,123.0,,2017-04-12 12:37:57.021663,49.189453,16.606628,0101000020E610000080D6FCF84B9B30408690F3FE3F984840
17543893,1099,116414799,Entire home/apt,,Brno,,Brno,0,0.0,5,0.0,,106.0,,2017-04-12 12:37:57.018710,49.201821,16.599123,0101000020E61000000A48FB1F60993040B1524145D5994840
7354920,1099,37372408,Entire home/apt,,Brno,,Brno,1,0.0,6,2.0,,109.0,,2017-04-12 12:37:57.015382,49.205647,16.498641,0101000020E6100000DA71C3EFA67F3040A0C211A4529A4840
2903473,1099,4504049,Entire home/apt,,Brno,,Brno,10,4.5,6,2.0,,94.0,,2017-04-12 12:37:56.084899,49.196651,16.608403,0101000020E6100000CDC98B4CC09B3040E4DC26DC2B994840
2341855,1099,4504049,Entire home/apt,,Brno,,Brno,1,0.0,2,1.0,,89.0,,2017-04-12 12:37:56.081154,49.196265,16.60765,0101000020E6100000166A4DF38E9B3040BA2C26361F994840
2899786,1099,4504049,Entire home/apt,,Brno,,Brno,5,4.5,4,1.0,,93.0,,2017-04-12 12:37:56.076608,49.198008,16.609132,0101000020E610000073F22213F09B3040562C7E5358994840
13245711,1099,74452775,Entire home/apt,,Brno,,Brno,10,5.0,5,2.0,,94.0,,2017-04-12 12:37:56.073771,49.188642,16.606617,0101000020E6100000983270404B9B30407653CA6B25984840
16952515,1099,113344991,Entire home/apt,,Brno,,Brno,3,5.0,4,2.0,,102.0,,2017-04-12 12:37:56.071084,49.203655,16.610936,0101000020E6100000F5F23B4D669C30405C55F65D119A4840
12365051,1099,26723475,Entire home/apt,,Brno,,Brno,13,5.0,2,1.0,,94.0,,2017-04-12 12:37:56.066688,49.192597,16.600712,0101000020E61000009450FA42C89930406327BC04A7984840
13646876,1099,26723475,Entire home/apt,,Brno,,Brno,5,5.0,2,1.0,,94.0,,2017-04-12 12:37:56.060567,49.191888,16.602115,0101000020E6100000596E6935249A3040573F36C98F984840
7777714,1099,40920217,Entire home/apt,,Brno,,Brno,10,4.5,4,2.0,,45.0,,2017-04-12 12:37:49.603709,49.197271,16.64634,0101000020E6100000BD18CA8976A5304080B9162D40994840
15754424,1099,66842548,Entire home/apt,,Brno,,Brno,11,4.5,4,0.0,,49.0,,2017-04-12 12:37:49.601247,49.185928,16.585911,0101000020E6100000DD5D6743FE95304091B41B7DCC974840
2574195,1099,7122680,Entire home/apt,,Brno,,Brno,7,4.5,3,1.0,,49.0,,2017-04-12 12:37:49.595016,49.186901,16.594581,0101000020E6100000AFD2DD75369830407B4B395FEC974840
15335492,1099,66842548,Entire home/apt,,Brno,,Brno,13,4.5,4,1.0,,49.0,,2017-04-12 12:37:49.592687,49.191249,16.599904,0101000020E610000055BDFC4E939930404432E4D87A984840
3518506,1099,4662188,Entire home/apt,,Brno,,Brno,9,5.0,4,1.0,,62.0,,2017-04-12 12:37:49.587455,49.195816,16.602775,0101000020E6100000AED85F764F9A30404B04AA7F10994840
16728157,1099,29371815,Entire home/apt,,Brno,,Brno,1,0.0,6,0.0,,54.0,,2017-04-12 12:37:49.585326,49.197838,16.593043,0101000020E61000002A1F82AAD1973040F9F36DC152994840
14123942,1099,85162155,Entire home/apt,,Brno,,Brno,0,0.0,3,3.0,,62.0,,2017-04-12 12:37:49.575219,49.206735,16.613747,0101000020E6100000A304FD851E9D304023F8DF4A769A4840
12727586,1099,29371815,Entire home/apt,,Brno,,Brno,11,5.0,5,2.0,,50.0,,2017-04-12 12:37:48.243077,49.18387,16.587382,0101000020E61000005342B0AA5E963040965B5A0D89974840
16146086,1099,14839138,Entire home/apt,,Brno,,Brno,2,0.0,4,1.0,,60.0,,2017-04-12 12:37:48.240890,49.187687,16.602481,0101000020E61000001D76DF313C9A30403271AB2006984840
5788394,1099,29371815,Entire home/apt,,Brno,,Brno,20,5.0,5,2.0,,55.0,,2017-04-12 12:37:48.234302,49.197539,16.598793,0101000020E6100000E012807F4A9930409F573CF548994840
7685523,1099,40088289,Entire home/apt,,Brno,,Brno,28,5.0,2,0.0,,61.0,,2017-04-12 12:37:48.231140,49.202855,16.607213,0101000020E6100000C0B4A84F729B3040406A1327F7994840
