room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14493699,86452560,Private room,,Brno,1,,4,,38.0,1.0,49.192206,16.609527,2016-11-05 18:29:42.378543
12220098,65732523,Private room,,Brno,24,5.0,2,,14.0,1.0,49.233062,16.592921,2016-11-05 18:29:25.346086
5612631,29094382,Entire home/apt,,Brno,28,4.5,5,2.0,40.0,1.0,49.201844,16.622038,2016-11-05 18:29:15.659531
15818793,100564086,Entire home/apt,,Brno,0,,2,,165.0,1.0,49.210455,16.625378,2016-11-05 18:29:11.632095
14227404,86474096,Private room,,Brno,4,4.0,2,1.0,16.0,2.0,49.179372,16.554581,2016-11-05 18:28:46.601976
3809169,7688351,Entire home/apt,,Brno,57,5.0,2,,57.0,2.0,49.207249,16.609691,2016-11-05 18:28:31.767144
13211343,59678173,Private room,,Brno,0,,2,,16.0,1.0,49.207709,16.60591,2016-11-05 18:28:16.971630
614785,2826581,Entire home/apt,,Brno,46,5.0,3,,49.0,2.0,49.195031,16.612109,2016-11-05 18:27:49.127641
3708614,14851142,Private room,,Brno,1,,4,,15.0,1.0,49.211789,16.581779,2016-11-05 18:27:37.114803
14241039,42691604,Private room,,Brno,1,,2,,33.0,2.0,49.205515,16.47941,2016-11-05 18:27:08.032842
11135595,57868273,Private room,,Brno,22,5.0,2,,26.0,1.0,49.211718,16.624812,2016-11-05 18:27:06.339031
4313555,19092484,Private room,,Brno,5,4.5,2,1.0,14.0,1.0,49.166638,16.581657,2016-11-05 18:26:14.434391
15661139,6083876,Private room,,Brno,0,,2,1.0,21.0,1.0,49.186366,16.639731,2016-11-05 18:26:03.251229
15253530,17634815,Private room,,Brno,2,,2,,76.0,1.0,49.196735,16.616871,2016-11-05 18:25:55.570608
12241949,6821038,Private room,,Brno,5,5.0,2,1.0,24.0,1.0,49.191246,16.659441,2016-11-05 18:25:42.652604
11976342,3358066,Private room,,Brno,1,,2,,22.0,1.0,49.192848,16.648227,2016-11-05 18:25:34.814005
2447323,11549602,Private room,,Brno,160,5.0,3,1.0,20.0,1.0,49.198712,16.601974,2016-11-05 18:24:39.995073
9399473,48748552,Private room,,Brno,1,,2,1.0,42.0,1.0,49.212429,16.584808,2016-11-05 18:24:37.821077
3289667,16459629,Entire home/apt,,Brno,48,4.5,2,,48.0,1.0,49.181458,16.597956,2016-11-05 18:24:34.689748
15320297,97604793,Private room,,Brno,0,,2,,16.0,2.0,49.237289,16.661309,2016-11-05 18:24:04.102649
14578823,16514467,Entire home/apt,,Brno,1,,3,1.0,42.0,1.0,49.189714,16.602437,2016-11-05 18:23:50.760356
13544766,77932862,Private room,,Brno,23,4.5,2,,22.0,1.0,49.191696,16.603344,2016-11-05 18:23:36.837390
13060665,61254448,Private room,,Brno,1,,2,,34.0,1.0,49.218073,16.56107,2016-11-05 18:23:34.335799
14493581,65343331,Entire home/apt,,Brno,4,5.0,4,,55.0,1.0,49.190593,16.590243,2016-11-05 18:22:17.386832
1955700,3671364,Private room,,Brno,13,4.5,3,1.0,28.0,1.0,49.191719,16.611042,2016-11-05 18:22:06.118869
3636333,13337018,Private room,,Brno,29,5.0,2,,42.0,7.0,49.194157,16.611247,2016-11-05 18:22:00.027983
14306173,42691604,Private room,,Brno,0,,3,,33.0,2.0,49.207147,16.477838,2016-11-05 18:21:57.561415
13366908,27516659,Private room,,Brno,0,,1,,25.0,1.0,49.132758,16.64816,2016-11-05 18:21:08.810416
14260597,86791464,Private room,,Brno,9,4.0,2,1.0,22.0,2.0,49.21939,16.518709,2016-11-05 18:20:24.347456
5327234,4987062,Private room,,Brno,22,5.0,2,1.0,27.0,1.0,49.199584,16.616505,2016-11-05 18:20:08.722329
6485333,33891785,Private room,,Brno,0,,2,,31.0,1.0,49.184121,16.5628,2016-11-05 18:19:53.227939
7833018,2922476,Private room,,Brno,1,,2,1.0,30.0,1.0,49.164684,16.561034,2016-11-05 18:19:38.562879
15321932,57097927,Shared room,,Brno,1,,1,,10.0,1.0,49.18927,16.603528,2016-11-05 18:18:47.456951
1741968,3616342,Private room,,Brno,8,4.5,3,1.0,41.0,1.0,49.208832,16.613885,2016-11-05 18:18:36.175724
2859172,14315358,Private room,,Brno,0,,2,1.0,82.0,1.0,49.204965,16.61273,2016-11-05 18:17:46.378282
12304774,66345928,Shared room,,Brno,1,,2,,14.0,1.0,49.182407,16.597461,2016-11-05 18:34:57.184540
6049105,31390388,Shared room,,Brno,2,,10,1.0,13.0,1.0,49.193917,16.611819,2016-11-05 18:21:15.973396
15713429,76775524,Shared room,,Brno,0,,2,1.0,16.0,1.0,49.194092,16.609059,2016-11-05 18:46:15.006045
12691076,68975698,Shared room,,Brno,0,,4,1.0,12.0,1.0,49.219381,16.632454,2016-11-05 18:40:35.310593
10347898,53257320,Shared room,,Brno,0,,1,1.0,30.0,1.0,49.165151,16.570547,2016-11-05 18:19:35.864288
12864574,8082029,Shared room,,Brno,0,,1,,21.0,1.0,49.196193,16.607932,2016-11-05 18:25:08.558986
5938236,23770807,Shared room,,Brno,13,4.5,3,1.0,19.0,1.0,49.207834,16.605419,2016-11-05 18:45:50.465006
14709602,91319844,Shared room,,Brno,0,,2,1.0,26.0,1.0,49.203565,16.58045,2016-11-05 18:34:51.186771
10939439,34115236,Shared room,,Brno,2,,8,,11.0,1.0,49.203953,16.625083,2016-11-05 18:23:22.222672
1353870,4504049,Shared room,,Brno,8,5.0,6,,19.0,1.0,49.197913,16.607754,2016-11-05 18:35:06.497409
12780348,69542775,Shared room,,Brno,0,,1,1.0,14.0,1.0,49.2002,16.603437,2016-11-05 18:20:40.690658
12036183,41363259,Shared room,,Brno,0,,1,1.0,42.0,1.0,49.163421,16.564714,2016-11-05 18:48:59.293680
